player_name,position,overall,total_shots,made_shots,3P,2P,restricted_area,in_paint,left_mid,center_mid,right_mid,right_corner,left_corner,right_wing,left_wing,top_3,deep_3
Tosan Evbuomwan,Forward,0.507,71,36,0.375,0.615,0.621,0.6,0.0,0.0,0.0,0.4,0.467,0.25,0.0,0.0,0.143
Danté Exum,Guard,0.533,302,161,0.491,0.557,0.661,0.373,0.0,0.6,1.0,0.5,0.4,0.5,0.412,0.786,0.542
Bruno Fernando,Forward-Center,0.583,187,109,0.0,0.596,0.692,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dorian Finney-Smith,Forward,0.421,511,215,0.348,0.56,0.641,0.343,0.0,0.0,0.5,0.317,0.377,0.346,0.367,0.348,0.352
Adam Flagler,Guard,0.143,7,1,0.167,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.167
Malachi Flynn,Guard,0.418,325,136,0.331,0.513,0.603,0.34,0.444,0.6,0.75,0.7,0.294,0.138,0.368,0.324,0.31
Simone Fontecchio,Forward,0.46,548,252,0.401,0.551,0.658,0.405,0.5,0.6,0.333,0.468,0.397,0.329,0.403,0.419,0.375
De'Aaron Fox,Guard,0.465,1549,720,0.369,0.522,0.668,0.512,0.286,0.465,0.44,0.323,0.481,0.392,0.362,0.337,0.361
Markelle Fultz,Guard,0.472,326,154,0.222,0.487,0.607,0.416,0.238,0.444,0.333,0.6,0.0,1.0,0.0,0.0,0.25
Daniel Gafford,Forward-Center,0.725,480,348,0.0,0.725,0.788,0.478,0.333,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darius Garland,Guard,0.446,841,375,0.371,0.501,0.594,0.438,0.391,0.37,0.591,0.407,0.44,0.314,0.394,0.37,0.362
Luka Garza,Center,0.48,75,36,0.281,0.628,0.65,0.619,0.0,0.0,0.5,0.0,0.5,0.667,0.111,0.278,0.267
Keyonte George,Guard,0.391,815,319,0.334,0.459,0.598,0.446,0.25,0.421,0.387,0.292,0.412,0.34,0.336,0.325,0.332
Paul George,Forward,0.471,1236,582,0.413,0.523,0.67,0.466,0.524,0.439,0.493,0.358,0.538,0.37,0.458,0.42,0.411
Taj Gibson,Forward,0.405,37,15,0.2,0.481,0.467,0.333,1.0,0.5,0.0,0.0,0.167,0.0,1.0,0.0,0.5
Josh Giddey,Guard,0.475,847,402,0.337,0.53,0.61,0.42,0.64,0.667,0.389,0.323,0.385,0.333,0.325,0.286,0.32
Shai Gilgeous-Alexander,Guard,0.535,1487,796,0.353,0.576,0.692,0.517,0.588,0.387,0.469,0.25,0.615,0.379,0.298,0.359,0.341
Anthony Gill,Forward,0.469,160,75,0.244,0.546,0.649,0.381,1.0,0.0,0.0,0.0,0.111,0.3,0.4,0.333,0.333
Collin Gillespie,Guard,0.464,69,32,0.395,0.548,0.571,0.5,0.0,0.333,0.667,0.5,0.5,0.286,0.357,0.462,0.382
Rudy Gobert,Center,0.661,614,406,0.0,0.664,0.736,0.295,0.0,1.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Goodwin,Guard,0.369,382,141,0.298,0.411,0.51,0.321,0.364,0.5,0.125,0.444,0.263,0.375,0.231,0.242,0.279
Aaron Gordon,Forward,0.556,716,398,0.29,0.619,0.708,0.244,0.154,0.5,0.357,0.481,0.241,0.222,0.281,0.231,0.247
Eric Gordon,Guard,0.443,618,274,0.378,0.561,0.692,0.377,0.333,0.5,0.0,0.439,0.346,0.369,0.411,0.311,0.372
Jerami Grant,Forward,0.451,850,383,0.402,0.474,0.576,0.333,0.5,0.5,0.471,0.531,0.396,0.432,0.276,0.357,0.368
AJ Green,Guard,0.423,196,83,0.408,0.519,0.857,0.0,0.5,0.667,0.25,0.4,0.5,0.352,0.472,0.375,0.392
Draymond Green,Forward,0.497,372,185,0.395,0.551,0.671,0.398,0.5,0.2,0.286,0.524,0.3,0.318,0.464,0.368,0.379
Jalen Green,Guard,0.423,1332,563,0.332,0.498,0.617,0.327,0.3,0.5,0.371,0.345,0.414,0.341,0.339,0.309,0.33
Javonte Green,Guard,0.6,75,45,0.37,0.729,0.75,0.625,0.0,0.0,0.0,0.444,0.25,0.5,0.333,0.0,0.4
Jeff Green,Forward,0.456,366,167,0.331,0.553,0.701,0.44,0.556,0.2,0.438,0.341,0.333,0.297,0.214,0.452,0.341
Josh Green,Guard,0.479,374,179,0.385,0.572,0.718,0.28,0.2,0.5,0.75,0.388,0.377,0.407,0.44,0.267,0.394
Quentin Grimes,Guard,0.372,328,122,0.338,0.466,0.562,0.333,0.286,0.0,0.0,0.211,0.375,0.444,0.326,0.257,0.338
Mouhamed Gueye,Forward,0.348,23,8,0.333,0.357,0.4,0.25,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.667,0.75
Rui Hachimura,Forward,0.537,676,363,0.422,0.597,0.762,0.407,0.389,0.409,0.455,0.405,0.478,0.292,0.426,0.571,0.398
Tyrese Haliburton,Guard,0.477,1048,500,0.364,0.595,0.683,0.525,0.556,0.667,0.56,0.333,0.286,0.39,0.333,0.383,0.373
Tim Hardaway Jr.,Guard-Forward,0.402,976,392,0.353,0.478,0.67,0.376,0.31,0.615,0.439,0.439,0.342,0.392,0.298,0.328,0.342
James Harden,Guard,0.428,822,352,0.381,0.497,0.641,0.353,0.667,0.533,0.474,0.5,0.25,0.384,0.447,0.343,0.38
Jaden Hardy,Guard,0.407,479,195,0.362,0.447,0.564,0.384,0.2,0.471,0.455,0.333,0.382,0.426,0.414,0.281,0.37
Gary Harris,Guard,0.441,297,131,0.371,0.598,0.694,0.519,0.8,0.0,0.333,0.375,0.424,0.375,0.321,0.357,0.345
Tobias Harris,Forward,0.487,951,463,0.353,0.537,0.65,0.459,0.458,0.4,0.316,0.571,0.229,0.29,0.328,0.397,0.335
Josh Hart,Guard,0.434,679,295,0.31,0.511,0.643,0.364,0.154,0.333,0.214,0.359,0.308,0.333,0.258,0.32,0.302
Isaiah Hartenstein,Center-Forward,0.644,365,235,0.333,0.646,0.694,0.521,0.75,0.4,0.0,0.0,0.0,0.0,0.0,0.333,0.333
Sam Hauser,Forward,0.446,558,249,0.424,0.559,0.609,0.5,0.4,0.25,0.8,0.514,0.451,0.426,0.406,0.361,0.404
Jordan Hawkins,Guard,0.382,456,174,0.366,0.411,0.523,0.364,0.385,0.286,0.389,0.368,0.556,0.243,0.358,0.434,0.338
Jaxson Hayes,Center-Forward,0.72,175,126,0.0,0.754,0.803,0.556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Killian Hayes,Guard,0.413,283,117,0.297,0.455,0.72,0.429,0.379,0.333,0.533,0.182,0.6,0.263,0.222,0.312,0.264
Scoot Henderson,Guard,0.385,797,307,0.325,0.416,0.473,0.379,0.48,0.5,0.237,0.286,0.35,0.316,0.359,0.322,0.332
Taylor Hendricks,Forward,0.45,240,108,0.379,0.55,0.704,0.424,0.2,0.4,0.0,0.419,0.455,0.292,0.308,0.357,0.312
Tyler Herro,Guard,0.441,735,324,0.396,0.478,0.518,0.519,0.414,0.385,0.324,0.531,0.2,0.382,0.304,0.451,0.39
Buddy Hield,Guard,0.436,850,371,0.386,0.539,0.612,0.426,0.5,0.5,0.167,0.455,0.444,0.4,0.345,0.387,0.371
Haywood Highsmith,Forward,0.465,329,153,0.396,0.562,0.603,0.556,0.286,0.0,0.5,0.378,0.468,0.375,0.352,0.429,0.37
Aaron Holiday,Guard,0.446,417,186,0.387,0.51,0.648,0.393,0.455,0.444,0.643,0.516,0.389,0.37,0.389,0.339,0.365
Jrue Holiday,Guard,0.48,689,331,0.429,0.526,0.642,0.479,0.414,0.538,0.25,0.625,0.588,0.387,0.284,0.45,0.361
Richaun Holmes,Forward,0.558,147,82,0.333,0.562,0.67,0.349,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0
Chet Holmgren,Center-Forward,0.53,953,505,0.37,0.623,0.729,0.51,0.5,0.294,0.455,0.222,0.333,0.382,0.431,0.328,0.38
Jalen Hood-Schifino,Guard,0.222,45,10,0.133,0.267,0.375,0.143,0.0,0.5,0.5,0.0,0.0,0.167,0.167,0.0,0.143
Al Horford,Center-Forward,0.511,419,214,0.419,0.658,0.755,0.489,0.75,1.0,0.25,0.459,0.432,0.357,0.425,0.442,0.399
Talen Horton-Tucker,Guard,0.396,465,184,0.33,0.438,0.564,0.382,0.062,0.0,0.5,0.25,0.409,0.421,0.254,0.366,0.331
Caleb Houstan,Guard,0.388,206,80,0.373,0.615,0.714,0.667,1.0,0.0,0.0,0.424,0.381,0.429,0.298,0.345,0.356
Jett Howard,Guard,0.333,30,10,0.28,0.6,0.667,1.0,0.0,0.0,0.0,0.0,0.0,0.429,0.3,0.167,0.318
Kevin Huerter,Guard-Forward,0.443,560,248,0.361,0.571,0.73,0.471,0.286,0.6,0.333,0.5,0.367,0.322,0.324,0.389,0.344
Jay Huff,Center,0.6,15,9,0.333,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.333
De'Andre Hunter,Forward-Guard,0.459,663,304,0.385,0.521,0.638,0.45,0.436,0.381,0.625,0.413,0.4,0.406,0.288,0.439,0.374
Bones Hyland,Guard,0.386,251,97,0.326,0.457,0.58,0.4,0.0,0.0,0.429,0.222,0.444,0.412,0.273,0.316,0.328
Joe Ingles,Forward-Guard,0.436,227,99,0.435,0.439,0.593,0.324,0.0,0.0,0.0,0.632,0.333,0.433,0.452,0.37,0.424
Brandon Ingram,Forward,0.492,1017,500,0.355,0.534,0.721,0.472,0.667,0.425,0.478,0.381,0.333,0.39,0.367,0.333,0.357
Kyrie Irving,Guard,0.497,1131,562,0.411,0.548,0.627,0.529,0.5,0.385,0.529,0.5,0.487,0.367,0.427,0.381,0.395
Jonathan Isaac,Forward,0.51,286,146,0.375,0.598,0.679,0.3,0.286,0.5,0.25,0.385,0.5,0.35,0.333,0.214,0.315
Jaden Ivey,Guard,0.429,973,417,0.336,0.485,0.591,0.39,0.448,0.474,0.333,0.448,0.278,0.35,0.337,0.342,0.343
GG Jackson,Forward,0.428,563,241,0.357,0.502,0.618,0.299,0.143,0.286,0.429,0.455,0.515,0.244,0.329,0.394,0.32
Isaiah Jackson,Forward,0.665,233,155,0.0,0.677,0.744,0.381,0.0,1.0,0.667,0.0,0.0,0.0,0.0,0.0,0.0
Quenton Jackson,Guard,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reggie Jackson,Guard,0.431,756,326,0.359,0.475,0.571,0.424,0.435,0.217,0.429,0.452,0.345,0.394,0.346,0.329,0.355
Andre Jackson Jr.,Guard,0.5,100,50,0.37,0.611,0.677,0.421,1.0,1.0,0.0,0.333,0.333,0.625,0.167,0.5,0.438
Jaren Jackson Jr.,Forward-Center,0.444,1161,516,0.32,0.502,0.59,0.438,0.5,0.286,0.455,0.462,0.194,0.36,0.281,0.325,0.329
Trayce Jackson-Davis,Forward,0.702,332,233,0.0,0.704,0.762,0.433,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
LeBron James,Forward,0.54,1269,685,0.41,0.592,0.733,0.418,0.274,0.3,0.346,0.565,0.333,0.4,0.448,0.361,0.406
Jaime Jaquez Jr.,Guard,0.489,697,341,0.322,0.558,0.654,0.474,0.235,0.333,0.542,0.265,0.373,0.345,0.324,0.333,0.337
DaQuan Jeffries,Guard-Forward,0.353,17,6,0.2,0.571,1.0,0.5,1.0,0.0,0.0,0.0,0.25,0.0,0.5,0.0,0.167
Trey Jemison III,Center,0.551,136,75,0.0,0.551,0.632,0.474,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.0,0.0
Ty Jerome,Guard-Forward,0.5,4,2,0.0,0.667,0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Isaiah Joe,Guard,0.458,485,222,0.416,0.568,0.729,0.435,0.462,0.462,0.462,0.296,0.491,0.474,0.396,0.393,0.417
Cameron Johnson,Forward,0.446,619,276,0.391,0.519,0.654,0.434,0.333,0.429,0.368,0.464,0.453,0.351,0.365,0.358,0.358
Jalen Johnson,Forward,0.511,702,359,0.355,0.574,0.676,0.432,0.562,0.429,0.5,0.281,0.31,0.265,0.5,0.4,0.384
James Johnson,Forward,0.3,10,3,0.0,0.375,0.667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
Keldon Johnson,Forward-Guard,0.454,862,391,0.346,0.533,0.602,0.429,0.429,0.286,0.5,0.271,0.362,0.356,0.368,0.361,0.361
Keon Johnson,Guard,0.381,21,8,0.4,0.364,0.4,0.5,0.0,0.0,0.0,1.0,0.0,0.667,0.0,0.5,0.333
Nikola Jokić,Center,0.583,1411,822,0.359,0.626,0.702,0.617,0.517,0.397,0.487,0.0,0.4,0.36,0.421,0.37,0.377
Colby Jones,Guard,0.394,71,28,0.091,0.531,0.526,0.56,0.0,0.5,0.5,0.0,0.167,0.0,0.111,0.0,0.071
Herbert Jones,Forward,0.498,588,293,0.418,0.568,0.673,0.343,0.2,0.333,0.556,0.573,0.338,0.323,0.45,0.278,0.358
Mason Jones,Guard,0.25,8,2,0.286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,0.333
Tre Jones,Guard,0.505,600,303,0.335,0.584,0.697,0.448,0.3,0.25,0.562,0.39,0.351,0.24,0.293,0.364,0.309
Tyus Jones,Guard,0.489,666,326,0.414,0.537,0.641,0.511,0.513,0.429,0.462,0.545,0.419,0.397,0.422,0.36,0.398
Derrick Jones Jr.,Forward,0.483,495,239,0.343,0.613,0.681,0.433,0.5,0.0,0.5,0.342,0.333,0.306,0.361,0.421,0.352
DeAndre Jordan,Center,0.624,93,58,0.0,0.624,0.667,0.364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cory Joseph,Guard,0.359,64,23,0.31,0.455,0.6,0.444,1.0,0.667,0.0,0.5,0.2,0.125,0.429,0.167,0.286
Nikola Jović,Forward,0.452,281,127,0.399,0.525,0.556,0.511,0.5,0.0,0.333,0.48,0.458,0.315,0.486,0.32,0.372
Johnny Juzang,Guard,0.464,110,51,0.416,0.576,0.727,0.5,0.0,0.0,0.0,0.211,0.526,0.429,0.556,0.286,0.462
Luke Kennard,Guard,0.448,315,141,0.45,0.442,0.609,0.308,1.0,0.3,0.5,0.5,0.312,0.425,0.517,0.442,0.457
Walker Kessler,Center,0.654,350,229,0.211,0.68,0.738,0.37,0.0,0.0,0.0,0.286,0.167,0.0,0.0,0.0,0.0
Braxton Key,Forward,0.412,17,7,0.4,0.417,0.444,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5
Corey Kispert,Forward,0.486,794,386,0.383,0.643,0.76,0.44,0.0,0.833,0.833,0.36,0.379,0.377,0.381,0.408,0.389
Maxi Kleber,Forward,0.432,146,63,0.348,0.574,0.759,0.333,0.667,0.0,0.0,0.231,0.25,0.467,0.389,0.385,0.407
Kevin Knox II,Forward,0.462,186,86,0.33,0.598,0.714,0.464,0.0,0.667,0.714,0.28,0.455,0.296,0.417,0.143,0.328
John Konchar,Guard,0.423,208,88,0.317,0.568,0.603,0.333,0.0,0.0,0.0,0.316,0.268,0.3,0.381,0.368,0.35
Luke Kornet,Center-Forward,0.7,203,142,1.0,0.698,0.756,0.158,1.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,1.0
Vít Krejčí,Guard,0.49,104,51,0.412,0.639,0.737,0.5,0.0,0.667,0.0,0.5,0.308,0.5,0.412,0.4,0.429
Zach LaVine,Guard,0.452,376,170,0.349,0.536,0.6,0.414,0.615,0.25,0.583,0.357,0.529,0.296,0.328,0.34,0.326
Jock Landale,Center,0.515,206,106,0.25,0.578,0.598,0.562,0.667,0.4,0.667,1.0,0.0,0.2,0.375,0.222,0.25
A.J. Lawson,Guard,0.446,121,54,0.26,0.577,0.717,0.067,0.667,0.0,0.0,0.267,0.235,0.429,0.111,0.5,0.278
Caris LeVert,Guard,0.421,820,345,0.325,0.486,0.582,0.348,0.583,0.222,0.652,0.32,0.326,0.39,0.337,0.259,0.328
Alex Len,Center,0.617,81,50,0.0,0.641,0.75,0.444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kawhi Leonard,Forward,0.525,1162,610,0.417,0.569,0.738,0.565,0.412,0.491,0.404,0.452,0.421,0.419,0.422,0.402,0.412
Maxwell Lewis,Forward,0.19,21,4,0.111,0.25,0.286,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0
E.J. Liddell,Forward,0.167,6,1,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damian Lillard,Guard,0.424,1277,541,0.354,0.49,0.6,0.366,0.422,0.439,0.231,0.375,0.238,0.386,0.361,0.346,0.362
Dereck Lively II,Center,0.747,296,221,0.0,0.752,0.804,0.489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Livingston,Forward,0.5,22,11,0.2,0.588,0.615,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0
Kevon Looney,Forward,0.597,233,139,0.0,0.599,0.702,0.415,0.0,0.333,0.333,0.0,0.0,0.0,0.0,0.0,0.0
